"age","income","demand","propose","elite"
59,6,37,40,1
53,8,40,50,1
62,8,40,40,1
57,8,49,50,1
61,NA,5,40,1
67,8,50,50,1
42,8,50,50,1
56,7,40,50,1
41,8,40,20,1
45,7,30,30,1
NA,8,NA,50,1
38,6,40,40,1
61,8,35,50,1
50,5,30,40,1
37,8,1,50,1
52,8,1,40,1
52,8,50,50,1
48,NA,1,50,1
65,8,50,50,1
62,8,20,41,1
77,8,45,47,1
63,8,50,50,1
25,2,1,50,1
49,NA,50,15,1
24,2,1,10,1
35,6,35,45,1
28,5,50,50,1
35,8,1,1,1
40,NA,35,42,1
41,8,1,50,1
40,8,30,30,1
47,8,10,60,1
36,8,1,15,1
70,8,30,50,1
67,7,30,30,1
53,8,49,50,1
41,7,49,50,1
75,7,50,50,1
40,8,10,20,1
57,7,40,40,1
55,8,40,50,1
54,7,NA,40,1
57,8,40,40,1
60,8,40,50,1
54,8,20,50,1
65,8,30,70,1
48,8,40,50,1
34,6,50,50,1
56,7,40,50,1
52,8,5,50,1
60,8,NA,50,1
67,8,5,60,1
69,NA,49,33,1
75,8,40,50,1
31,6,20,30,1
27,3,10,40,1
48,8,50,50,1
63,8,35,20,1
39,8,1,15,1
38,8,50,0,1
61,8,25,60,1
58,8,35,40,1
32,7,20,50,1
69,8,NA,61,1
52,NA,40,40,1
56,8,40,60,1
43,6,35,41,1
52,8,20,50,1
60,7,30,70,1
64,8,40,45,1
47,8,1,45,1
37,5,0,100,1
54,8,20,40,1
45,6,40,40,1
33,6,50,50,1
49,6,50,50,1
58,8,40,40,1
42,8,45,44,1
56,8,25,50,1
70,8,50,50,1
66,8,1,50,1
53,8,40,50,1
59,8,60,60,1
57,8,20,25,1
59,8,40,20,1
66,8,50,50,1
48,8,40,50,1
69,7,50,50,1
34,NA,36,44,1
46,7,40,50,1
46,7,30,40,1
54,8,50,50,1
32,6,45,50,1
66,8,40,45,1
55,8,30,50,1
52,8,5,50,1
57,8,5,5,1
50,5,30,33,1
36,NA,1,20,1
36,NA,1,20,1
36,NA,1,20,1
40,8,40,49,1
35,1,20,14,0
38,1,40,49,0
19,9,1,89,0
20,2,10,50,0
29,1,45,50,0
35,2,50,50,0
21,1,20,50,0
38,1,50,50,0
35,4,1,20,0
36,3,1,0,0
31,2,50,50,0
25,2,10,10,0
25,3,1,50,0
22,2,15,50,0
22,2,50,50,0
42,6,50,50,0
26,6,50,50,0
20,7,100,10,0
28,3,20,50,0
24,6,10,25,0
32,1,100,69,0
23,3,20,45,0
22,2,10,50,0
32,2,20,50,0
30,1,10,23,0
74,2,2,91,0
35,4,50,50,0
21,3,25,20,0
30,1,20,50,0
22,7,10,40,0
