State,Gore,Bush,location,first_name,middle_name,last_name,district,votes_with_party_pct,votes_against_party_pct,party,suffix,gender,geoid,Member Position
AK,0.28,0.59,AK1,Don,,Young,1,0.92,0.0757,R,,M,0200,0.92
AL,0.38,0.6,AL1,Sonny,,Callahan,1,0.94,0.058899999999999994,R,,,0101,0.94
AL,0.38,0.61,AL2,Terry,,Everett,2,0.95,0.048600000000000004,R,,M,0102,0.95
AL,0.47,0.52,AL3,Bob,,Riley,3,0.93,0.0718,R,,M,0103,0.93
AL,0.37,0.61,AL4,Robert,B.,Aderholt,4,0.9,0.0986,R,,M,0104,0.9
AL,0.44,0.54,AL5,Robert,E.,Cramer,5,0.8,0.19879999999999998,D,,M,0105,0.19999999999999996
AL,0.25,0.74,AL6,Spencer,,Bachus,6,0.93,0.0699,R,,M,0106,0.93
AL,0.66,0.33,AL7,Earl,F.,Hilliard,7,0.87,0.12480000000000001,D,,M,0107,0.13
AR,0.5,0.48,AR1,Marion,,Berry,1,0.81,0.1859,D,,M,0501,0.18999999999999995
AR,0.48,0.49,AR2,Vic,,Snyder,2,0.92,0.0755,D,,M,0502,0.07999999999999996
AR,0.37,0.6,AR3,Asa,,Hutchinson,3,0.92,0.07200000000000001,R,,M,0503,0.92
AR,0.49,0.48,AR4,Jay,,Dickey,4,0.92,0.0764,R,,M,0504,0.92
AZ,0.46,0.51,AZ1,Matt,,Salmon,1,0.9,0.0974,R,,M,0401,0.9
AZ,0.41,0.57,AZ2,Ed,,Pastor,2,0.92,0.07339999999999999,D,,M,0402,0.07999999999999996
AZ,0.43,0.55,AZ3,Bob,,Stump,3,0.93,0.069,R,,M,0403,0.93
AZ,0.63,0.35,AZ4,John,,Shadegg,4,0.9,0.0971,R,,M,0404,0.9
AZ,0.43,0.54,AZ5,James,T.,Kolbe,5,0.89,0.10830000000000001,R,,M,0405,0.89
AZ,0.37,0.61,AZ6,John,D.,Hayworth,6,0.93,0.0722,R,,M,0406,0.93
AZ,0.58,0.38,AZ7,,,,nan,,,,,,,
AZ,0.46,0.5,AZ8,,,,nan,,,,,,,
CA,0.52,0.39,CA1,Mike,,Thompson,1,0.87,0.1232,D,,M,0601,0.13
CA,0.33,0.61,CA2,Wally,,Herger,2,0.92,0.07429999999999999,R,,M,0602,0.92
CA,0.41,0.55,CA3,Doug,,Ose,3,0.91,0.08960000000000001,R,,M,0603,0.91
CA,0.36,0.59,CA4,John,T.,Doolittle,4,0.92,0.0801,R,,M,0604,0.92
CA,0.6,0.35,CA5,Robert,T.,Matsui,5,0.96,0.0403,D,,M,0605,0.040000000000000036
CA,0.62,0.3,CA6,Lynn,,Woolsey,6,0.93,0.0635,D,,F,0606,0.06999999999999995
CA,0.66,0.31,CA7,George,,Miller,7,0.85,0.1429,D,,M,0607,0.15000000000000002
CA,0.77,0.15,CA8,Nancy,,Pelosi,8,0.92,0.07400000000000001,D,,F,0608,0.07999999999999996
CA,0.79,0.13,CA9,Barbara,,Lee,9,0.88,0.1191,D,,F,0609,0.12
CA,0.55,0.41,CA10,Ellen,O.,Tauscher,10,0.91,0.08990000000000001,D,,F,0610,0.08999999999999997
CA,0.45,0.53,CA11,Richard,W.,Pombo,11,0.91,0.0897,R,,M,0611,0.91
CA,0.67,0.29,CA12,Tom,,Lantos,12,0.96,0.034300000000000004,D,,M,0612,0.040000000000000036
CA,0.67,0.3,CA13,Pete,,Stark,13,0.84,0.1561,D,,M,0613,0.16000000000000003
CA,0.62,0.34,CA14,Anna,G.,Eshoo,14,0.91,0.0907,D,,F,0614,0.08999999999999997
CA,0.6,0.36,CA15,Tom,,Campbell,15,0.79,0.20420000000000002,R,,M,0615,0.79
CA,0.64,0.33,CA16,Zoe,,Lofgren,16,0.89,0.1079,D,,F,0616,0.10999999999999999
CA,0.6,0.33,CA17,Sam,,Farr,17,0.95,0.0508,D,,M,0617,0.050000000000000044
CA,0.53,0.44,CA18,Gary,,Condit,18,0.8,0.19579999999999997,D,,M,0618,0.19999999999999996
CA,0.39,0.58,CA19,George,P.,Radanovich,19,0.94,0.0558,R,,M,0619,0.94
CA,0.55,0.44,CA20,Calvin,M.,Dooley,20,0.88,0.11560000000000001,D,,M,0620,0.12
CA,0.37,0.61,CA21,William,M.,Thomas,21,0.93,0.0633,R,,M,0621,0.93
CA,0.33,0.64,CA22,Lois,,Capps,22,0.93,0.066,D,,F,0622,0.06999999999999995
CA,0.54,0.4,CA23,Elton,,Gallegly,23,0.93,0.0693,R,,M,0623,0.93
CA,0.43,0.54,CA24,Brad,,Sherman,24,0.93,0.0705,D,,M,0624,0.06999999999999995
CA,0.42,0.56,CA25,Howard,P.,McKeon,25,0.96,0.0404,R,,M,0625,0.96
