short_title,first_name,last_name,date_of_birth,gender,party,twitter_account,facebook_account,dw_nominate,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
Sen.,Lamar,Alexander,1940-07-03,M,R,SenAlexander,senatorlamaralexander,0.324,18.55,96.55,3.45
Sen.,Tammy,Baldwin,1962-02-11,F,D,SenatorBaldwin,senatortammybaldwin,-0.493,0.28,94.65,5.35
Sen.,John,Barrasso,1952-07-21,M,R,SenJohnBarrasso,johnbarrasso,0.541,0.0,96.91,3.09
Sen.,Michael,Bennet,1964-11-28,M,D,SenBennetCo,senbennetco,-0.227,17.99,94.91,5.09
Sen.,Marsha,Blackburn,1952-06-06,F,R,MarshaBlackburn,marshablackburn,0.619,1.67,94.01,5.99
Sen.,Richard,Blumenthal,1946-02-13,M,D,SenBlumenthal,SenBlumenthal,-0.438,0.98,88.37,11.63
Sen.,Roy,Blunt,1950-01-10,M,R,RoyBlunt,SenatorBlunt,0.426,2.09,98.28,1.72
Sen.,Cory,Booker,1969-04-27,M,D,SenBooker,,-0.592,40.45,83.37,16.63
Sen.,John,Boozman,1950-12-10,M,R,JohnBoozman,JohnBoozman,0.4,0.0,98.46,1.54
Sen.,Mike,Braun,1954-03-24,M,R,SenatorBraun,,,0.84,93.21,6.79
Sen.,Sherrod,Brown,1952-11-09,M,D,SenSherrodBrown,SenatorSherrodBrown,-0.428,1.67,91.96,8.04
Sen.,Richard,Burr,1955-11-30,M,R,SenatorBurr,SenatorRichardBurr,0.45,12.27,98.4,1.6
Sen.,Maria,Cantwell,1958-10-13,F,D,SenatorCantwell,senatorcantwell,-0.304,1.12,90.58,9.42
Sen.,Shelley,Capito,1953-11-26,F,R,SenCapito,senshelley,0.263,5.44,98.52,1.48
Sen.,Benjamin,Cardin,1943-10-05,M,D,SenatorCardin,senatorbencardin,-0.32,2.09,95.15,4.85
Sen.,Thomas,Carper,1947-01-23,M,D,SenatorCarper,tomcarper,-0.176,0.56,90.13,9.87
Sen.,Bob,Casey,1960-04-13,M,D,SenBobCasey,SenatorBobCasey,-0.315,0.0,95.38,4.62
Sen.,Bill,Cassidy,1957-09-28,M,R,,,0.456,6.42,97.0,3.0
Sen.,Susan,Collins,1952-12-07,F,R,SenatorCollins,susancollins,0.114,0.0,88.62,11.38
Sen.,Christopher,Coons,1963-09-09,M,D,ChrisCoons,senatorchriscoons,-0.229,3.49,94.47,5.53
Sen.,John,Cornyn,1952-02-02,M,R,JohnCornyn,sen.johncornyn,0.492,0.98,98.02,1.98
Sen.,Catherine,Cortez Masto,1964-03-29,F,D,sencortezmasto,SenatorCortezMasto,-0.371,0.56,95.94,4.06
Sen.,Tom,Cotton,1977-05-13,M,R,SenTomCotton,SenatorTomCotton,0.5730000000000001,0.7000000000000001,97.17,2.83
Sen.,Kevin,Cramer,1961-01-21,M,R,SenKevinCramer,CongressmanKevinCramer,0.388,2.65,99.28,0.72
Sen.,Michael,Crapo,1951-05-20,M,R,MikeCrapo,mikecrapo,0.511,0.56,97.6,2.4
Sen.,Ted,Cruz,1970-12-22,M,R,SenTedCruz,SenatorTedCruz,0.8260000000000001,5.16,92.3,7.7
Sen.,Steve,Daines,1962-08-20,M,R,SteveDaines,SteveDainesMT,0.551,1.53,94.72,5.28
Sen.,Tammy,Duckworth,1968-03-12,F,D,SenDuckworth,SenDuckworth,-0.337,3.07,94.95,5.05
Sen.,Richard,Durbin,1944-11-21,M,D,SenatorDurbin,SenatorDurbin,-0.34800000000000003,1.53,95.47,4.53
Sen.,Michael,Enzi,1944-02-01,M,R,SenatorEnzi,mikeenzi,0.545,4.2,96.03,3.9699999999999998
Sen.,Joni,Ernst,1970-07-01,F,R,SenJoniErnst,senjoniernst,0.527,1.67,97.0,3.0
Sen.,Dianne,Feinstein,1933-06-22,F,D,SenFeinstein,senatorfeinstein,-0.267,1.26,95.61,4.39
Sen.,Deb,Fischer,1951-03-01,F,R,SenatorFischer,senatordebfischer,0.47100000000000003,3.49,98.25,1.75
Sen.,Cory,Gardner,1974-08-22,M,R,SenCoryGardner,SenCoryGardner,0.444,2.09,96.84,3.16
Sen.,Kirsten,Gillibrand,1966-12-09,F,D,GillibrandNY,SenKirstenGillibrand,-0.47500000000000003,15.34,76.4,23.6
Sen.,Lindsey,Graham,1955-07-09,M,R,GrahamBlog,USSenatorLindseyGraham,0.405,4.04,97.51,2.49
Sen.,Charles,Grassley,1933-09-17,M,R,ChuckGrassley,grassley,0.34600000000000003,1.3900000000000001,98.01,1.99
Sen.,Kamala,Harris,1964-10-20,F,D,SenKamalaHarris,SenatorKamalaHarris,-0.709,55.23,76.85,23.15
Sen.,Margaret,Hassan,1958-02-27,F,D,Senatorhassan,SenatorHassan,-0.233,0.14,91.62,8.38
Sen.,Joshua,Hawley,1979-12-31,M,R,SenHawleyPress,,,0.56,94.35,5.65
Sen.,Martin,Heinrich,1971-10-17,M,D,MartinHeinrich,MartinHeinrich,-0.328,3.63,93.75,6.25
Sen.,Mazie,Hirono,1947-11-03,F,D,MazieHirono,senatorhirono,-0.512,2.65,83.11,16.89
Sen.,John,Hoeven,1957-03-13,M,R,SenJohnHoeven,SenatorJohnHoeven,0.343,1.53,99.0,1.0
Sen.,Cindy,Hyde-Smith,1959-05-10,F,R,SenHydeSmith,,0.374,1.67,98.29,1.71
Sen.,James,Inhofe,1934-11-17,M,R,InhofePress,jiminhofe,0.555,2.93,96.39,3.61
Sen.,Johnny,Isakson,1944-12-28,M,R,SenatorIsakson,,0.402,33.49,98.59,1.4100000000000001
Sen.,Ron,Johnson,1955-04-08,M,R,SenRonJohnson,senronjohnson,0.607,3.91,96.35,3.65
Sen.,Doug,Jones,1954-05-04,M,D,sendougjones,senatordougjones,-0.088,4.88,78.76,21.24
Sen.,Tim,Kaine,1958-02-26,M,D,,SenatorKaine,-0.243,2.37,94.98,5.02
Sen.,Mark,Kelly,1964-02-21,M,D,SenMarkKelly,SenMarkKelly,,0.0,65.12,34.88
Sen.,John,Kennedy,1951-11-21,M,R,SenJohnKennedy,JohnKennedyLouisiana,0.594,2.09,93.69,6.31
Sen.,Angus,King,1944-03-31,M,ID,SenAngusKing,SenatorAngusSKingJr,-0.157,0.0,90.33,9.67
Sen.,Amy,Klobuchar,1960-05-25,F,D,SenAmyKlobuchar,,-0.28400000000000003,29.01,86.0,14.0
Sen.,James,Lankford,1968-03-04,M,R,SenatorLankford,SenatorLankford,0.589,0.0,95.79,4.21
Sen.,Patrick,Leahy,1940-03-31,M,D,SenatorLeahy,SenatorPatrickLeahy,-0.359,3.21,94.21,5.79
Sen.,Mike,Lee,1971-06-04,M,R,SenMikeLee,senatormikelee,0.917,1.67,84.71,15.29
Sen.,Kelly,Loeffler,1970-11-27,F,R,SenatorLoeffler,,,17.59,97.47,2.5300000000000002
Sen.,Joe,Manchin,1947-08-24,M,D,Sen_JoeManchin,JoeManchinIII,-0.056,1.9500000000000002,74.37,25.63
Sen.,Edward,Markey,1946-07-11,M,D,SenMarkey,EdJMarkey,-0.512,10.88,74.8,25.2
Sen.,Mitch,McConnell,1942-02-20,M,R,McConnellPress,mitchmcconnell,0.401,0.0,97.47,2.5300000000000002
Sen.,Martha,McSally,1966-03-22,F,R,SenMcSallyAZ,SenMarthaMcSally,0.34500000000000003,3.12,97.69,2.31
Sen.,Robert,Menendez,1954-01-01,M,D,SenatorMenendez,senatormenendez,-0.366,0.7000000000000001,92.17,7.83
Sen.,Jeff,Merkley,1956-10-24,M,D,SenJeffMerkley,jeffmerkley,-0.442,0.7000000000000001,83.31,16.69
Sen.,Jerry,Moran,1954-05-29,M,R,JerryMoran,jerrymoran,0.41500000000000004,10.32,94.54,5.46
Sen.,Lisa,Murkowski,1957-05-22,F,R,LisaMurkowski,SenLisaMurkowski,0.212,6.83,93.82,6.18
Sen.,Christopher,Murphy,1973-08-03,M,D,senmurphyoffice,chrismurphyct,-0.269,0.56,88.84,11.16
Sen.,Patty,Murray,1950-10-11,F,D,PattyMurray,,-0.352,5.44,90.74,9.26
Sen.,Rand,Paul,1963-01-07,M,R,RandPaul,SenatorRandPaul,0.876,9.34,80.16,19.84
Sen.,David,Perdue,1949-12-10,M,R,sendavidperdue,SenatorDavidPerdue,0.562,11.58,98.25,1.75
Sen.,Gary,Peters,1958-12-01,M,D,SenGaryPeters,SenGaryPeters,-0.246,0.14,95.24,4.76
Sen.,Rob,Portman,1955-12-19,M,R,SenRobPortman,senrobportman,0.373,1.26,98.15,1.85
Sen.,Jack,Reed,1949-11-12,M,D,SenJackReed,SenJackReed,-0.367,0.42,94.93,5.07
Sen.,Jim,Risch,1943-05-03,M,R,SenatorRisch,senatorjimrisch,0.628,2.51,96.83,3.17
Sen.,Pat,Roberts,1936-04-20,M,R,SenPatRoberts,SenPatRoberts,0.41300000000000003,5.03,98.52,1.48
Sen.,Mitt,Romney,1947-03-12,M,R,SenatorRomney,,,0.84,95.47,4.53
Sen.,Jacky,Rosen,1957-08-02,F,D,SenJackyRosen,RepJackyRosen,-0.28600000000000003,0.56,95.21,4.79
Sen.,Mike,Rounds,1954-10-24,M,R,SenatorRounds,SenatorMikeRounds,0.40800000000000003,12.55,97.59,2.41
Sen.,Marco,Rubio,1971-05-28,M,R,SenRubioPress,SenatorMarcoRubio,0.5670000000000001,5.02,97.04,2.96
Sen.,Bernard,Sanders,1941-09-08,M,ID,SenSanders,senatorsanders,-0.529,57.32,80.73,19.27
Sen.,Ben,Sasse,1972-02-22,M,R,SenSasse,SenatorSasse,0.788,3.07,94.79,5.21
Sen.,Brian,Schatz,1972-10-20,M,D,SenBrianSchatz,SenBrianSchatz,-0.443,5.02,88.52,11.48
Sen.,Charles,Schumer,1950-11-23,M,D,SenSchumer,senschumer,-0.359,0.0,87.73,12.27
Sen.,Rick,Scott,1952-12-01,M,R,SenRickScott,,,3.63,96.21,3.79
Sen.,Tim,Scott,1965-09-19,M,R,SenatorTimScott,SenatorTimScott,0.636,0.84,97.17,2.83
Sen.,Jeanne,Shaheen,1947-01-28,F,D,SenatorShaheen,SenatorShaheen,-0.23800000000000002,0.98,92.44,7.5600000000000005
Sen.,Richard,Shelby,1934-05-06,M,R,SenShelby,RichardShelby,0.429,0.7000000000000001,97.32,2.68
Sen.,Kyrsten,Sinema,1976-07-12,F,D,SenatorSinema,CongresswomanSinema,-0.101,8.37,77.08,22.92
Sen.,Tina,Smith,1958-03-04,F,D,SenTinaSmith,USSenTinaSmith,-0.396,0.84,93.89,6.11
Sen.,Debbie,Stabenow,1950-04-29,F,D,SenStabenow,SenatorStabenow,-0.343,4.88,93.04,6.96
Sen.,Dan,Sullivan,1964-11-13,M,R,SenDanSullivan,SenDanSullivan,0.485,2.79,96.82,3.18
Sen.,Jon,Tester,1956-08-21,M,D,SenatorTester,senatortester,-0.216,3.07,92.47,7.53
Sen.,John,Thune,1961-01-07,M,R,SenJohnThune,,0.41100000000000003,0.42,99.01,0.99
Sen.,Thom,Tillis,1960-08-30,M,R,senthomtillis,SenatorThomTillis,0.426,5.16,97.78,2.22
Sen.,Patrick,Toomey,1961-11-17,M,R,SenToomey,senatortoomey,0.647,4.32,93.84,6.16
Sen.,Tom,Udall,1948-05-18,M,D,SenatorTomUdall,senatortomudall,-0.453,1.82,93.53,6.47
Sen.,Chris,Van Hollen,1959-01-10,M,D,ChrisVanHollen,chrisvanhollen,-0.392,0.14,91.04,8.96
