"country","ccode","year","enfranchised1","enfranchised2","enfrachisement3","inctaxshrn","hifatwaryear","wwi_iihighmob2","decadec","munsuff","topratep","himobpopyearp","himobpopyear2p","leftseatshp","gdppcp","ratiop","topratepl1","wwihighmobaft","year3","topdum","topratenoint","topratenointl1","_Idecadec_9","_Idecadec_10","_Idecadec_11","_Idecadec_12","_Idecadec_13","_Idecadec_14","_Idecadec_15","_Idecadec_16","_Idecadec_17","_Idecadec_18","_Idecadec_19","_Idecadec_20","_Idecadec_21","_Idecadec_22","_Idecadec_23","_Iccode_20","_Iccode_200","_Iccode_210","_Iccode_220","_Iccode_230","_Iccode_380","_Iccode_740"
"USA",2,1850,,44.2000007629395,,,0,0,8,0,0,0,0,0,1.83066082000732,0.0170146953314543,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1851,,44.2000007629395,,,0,0,8,0,0,0,0,0,1.86764991283417,0.0198204927146435,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1852,,44.9000015258789,,,0,0,8,0,0,0,0,0,1.9046391248703,0.0174580998718739,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1853,,44.9000015258789,,,0,0,8,0,0,0,0,0,1.94162821769714,0.0184359196573496,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1854,,44.9000015258789,,,0,0,8,0,0,0,0,0,1.97861742973328,0.0204137936234474,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1855,,44.9000015258789,,,0,0,8,0,0,0,0,0,2.01560640335083,0.0167052168399096,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1856,,45.4000015258789,,,0,0,8,0,0,0,0,0,2.05259561538696,0.0183988064527512,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1857,,45.4000015258789,,,0,0,8,0,0,0,0,0,2.0895848274231,0.017349760979414,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1858,,45.4000015258789,,,0,0,8,0,0,0,0,0,2.12657403945923,0.0126480087637901,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1859,,45.4000015258789,,,0,0,8,0,0,0,0,0,2.16356301307678,0.0133434040471911,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1860,,45.5,,,0,0,9,0,0,0,0,0,2.20055222511292,0.0145871322602034,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1861,,45.5,,,0,0,9,0,0,0,0,0,2.22701740264893,0.0114223547279835,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1862,,45.5,,,0,0,9,0,5,0,0,0,2.25348281860352,0.0129611166194081,0,0,,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1863,,45.5,,,0,0,9,0,5,0,0,0,2.27994799613953,0.0221742540597916,5,0,,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1864,,45.9000015258789,,,0,0,9,0,5,0,0,0,2.30641341209412,0.0409013740718365,5,0,,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1865,,45.9000015258789,,,0,0,9,0,10,0,0,0,2.33287858963013,0.0509146340191364,5,0,,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1866,,45.9000015258789,,,0,0,9,0,10,0,0,0,2.35934376716614,0.081104651093483,10,0,,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1867,,45.9000015258789,,,0,0,9,0,5,0,0,0,2.38580918312073,0.0717836245894432,10,0,,1,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1868,,48.5,,,0,0,9,0,5,0,0,0,2.41227436065674,0.0575070828199387,5,0,,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1869,,48.5,,,0,0,9,0,5,0,0,0,2.43873977661133,0.0500674769282341,5,0,,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1870,,48.5,,,0,0,10,0,5,0,0,0,2.46520495414734,0.0559183657169342,5,0,,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",2,1871,,48.5,,,0,0,10,0,5,0,0,0,2.51262879371643,0.050728477537632,5,0,,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
